Country,State,Population
San Marino,,33574
British Virgin Islands�(UK),,30030
�land Islands�(Finland),,29885
Palau,,17900
Cook Islands�(NZ),,15200
Anguilla�(UK),,14869
Wallis and Futuna�(France),,11700
Nauru,,11000
Tuvalu,,10200
Saint Barth�lemy�(France),,9793
Saint Pierre and Miquelon�(France),,6008
"Saint Helena, Ascension",,5633
Montserrat�(UK),,4989
Falkland Islands�(UK),,3198
Christmas Island�(Australia),,1928
Norfolk Island�(Australia),,1756
Niue�(NZ),,1520
Tokelau�(NZ),,1400
Holy See,,799
Cocos (Keeling) Islands�(Australia),,538
Pitcairn Islands�(UK),,50
,California,39512223
,Texas,28995881
,Florida,21477737
,New York,19453561
,Pennsylvania,12801989
,Illinois,12671821
,Ohio,11689100
,Georgia,10617423
,North Carolina,10488084
,Michigan,9986857
,New Jersey,8882190
,Virginia,8535519
,Washington,7614893
,Arizona,7278717
,Massachusetts,6949503
,Tennessee,6833174
,Indiana,6732219
,Missouri,6137428
,Maryland,6045680
,Wisconsin,5822434
,Colorado,5758736
,Minnesota,5639632
,South Carolina,5148714
,Alabama,4903185
,Louisiana,4648794
,Kentucky,4467673
,Oregon,4217737
,Oklahoma,3956971
,Connecticut,3565287
,Utah,3205958
,Puerto Rico,3193694
,Iowa,3155070
,Nevada,3080156
,Arkansas,3017825
,Mississippi,2976149
,Kansas,2913314
,New Mexico,2096829
,Nebraska,1934408
,West Virginia,1787145
,Idaho,1792065
,Hawaii,1415872
,New Hampshire,1359711
,Maine,1344212
,Montana,1068778
,Rhode Island,1059361
,Delaware,973764
,South Dakota,884659
,North Dakota,762062
,Alaska,731545
,District of Columbia,705749
,Vermont,623989
,Wyoming,578759
,Guam,165718
,Virgin Islands,104914
,American Samoa,55641
,Northern Mariana Islands,55194
Martinique,,376480
,Alberta,4413146
,British Columbia,5110917
,Manitoba,1377517
,New Brunswick,779993
,Newfoundland and Labrador,521365
,Nova Scotia,977457
,Ontario,14711827
,Prince Edward Island,158158
,Quebec,8537674
,Saskatchewan,1181666
